z	z	z	0.750000
што	може	да	0.714286
што	му	је	0.849057
што	не	постоји	0.230769
што	не	ради	0.230769
што	не	би	0.230769
што	никада	није	1.000000
што	није	било	0.333333
што	се	може	0.125926
што	се	у	0.103704
што	се	види	0.081481
што	се	на	0.059259
што	се	и	0.059259
што	се	десило	0.051852
што	се	дешава	0.044444
што	се	не	0.029630
што	се	пре	0.022222
што	се	прво	0.022222
што	се	она	0.022222
што	се	веома	0.022222
што	су	се	0.252101
што	су	они	0.084034
што	су	и	0.067227
што	су	га	0.058824
што	су	сви	0.042017
што	су	били	0.033613
што	су	му	0.033613
што	су	то	0.033613
што	су	у	0.025210
што	треба	да	0.750000
што	је	у	0.101545
што	је	био	0.097130
што	је	то	0.061810
што	је	било	0.061810
што	је	и	0.057395
што	је	била	0.052980
што	је	за	0.035320
што	је	на	0.033113
што	је	он	0.022075
што	је	она	0.022075
што	је	већ	0.019868
што	је	више	0.015453
што	је	овај	0.015453
што	је	имао	0.015453
што	је	још	0.013245
што	је	касније	0.013245
што	је	од	0.013245
што	је	веома	0.013245
што	је	као	0.008830
што	је	видео	0.008830
што	је	поново	0.008830
што	је	вероватно	0.008830
што	је	први	0.008830
што	је	његов	0.008830
што	је	једна	0.006623
што	је	можда	0.006623
што	је	пута	0.006623
што	је	чуо	0.006623
што	је	мислио	0.006623
што	је	после	0.006623
што	јој	је	0.714286
што	ће	се	0.400000
што	ће	му	0.120000
једног	и	по	0.750000
једног	или	више	0.666667
једног	од	њих	0.444444
