abas	puses	ir	0.300000
no	septiņiem	līdz	0.666667
no	sirds	un	0.217391
no	sirds	vēlu	0.130435
no	tiem	kas	0.100775
no	tiem	ir	0.077519
no	tiem	cilvēkiem	0.054264
no	tiem	bija	0.038760
no	tiem	kuri	0.038760
no	tiem	var	0.038760
no	tiem	laikiem	0.031008
no	tiem	nav	0.023256
no	tirdzniecības	centra	0.272727
no	trim	līdz	0.333333
no	tā	cik	0.088372
no	tā	ka	0.079070
no	tā	ko	0.079070
no	tā	vai	0.079070
no	tā	ir	0.055814
no	tā	kas	0.051163
no	tā	kā	0.037209
no	tā	visa	0.032558
no	tā	būtu	0.013953
no	tā	rodas	0.013953
no	tā	lielā	0.013953
no	tā	ar	0.013953
no	tā	nebūs	0.013953
no	tā	laika	0.013953
no	tā	kāda	0.013953
no	tā	var	0.013953
no	tām	ir	0.290323
no	tās	pašas	0.081081
no	vairāk	nekā	1.000000
no	valsts	puses	0.130435
no	valsts	policijas	0.086957
no	valsts	ir	0.065217
no	valsts	un	0.065217
no	valsts	bet	0.065217
no	vienas	puses	0.625000
no	vienas	vietas	0.111111
no	vietas	kur	0.375000
no	visas	sirds	0.433333
no	visas	pasaules	0.300000
no	visām	pusēm	0.350000
no	viņiem	ir	0.141304
no	viņiem	jau	0.043478
no	viņiem	bija	0.032609
no	viņiem	arī	0.032609
no	viņu	puses	0.307692
no	zila	gaisa	1.000000
no	šiem	cilvēkiem	0.352941
no	šodienas	līdz	0.333333
no	šā	gada	0.794872
no	šā	brīža	0.128205
no	šī	gada	0.312500
no	šī	brīža	0.125000
no	šī	darba	0.093750
no	šīs	valsts	0.250000
no	šīs	pasaules	0.107143
nodaļa	kā	arī	1.000000
noliedz	ka	būtu	0.307692
noslēgts	līgums	ar	0.500000
noslēgts	līgums	par	0.357143
noteikts	ka	par	0.375000
notiek	jau	trešo	0.230769
notiek	katru	gadu	0.750000
notiek	kaut	kas	0.714286
notiek	kopš	gada	0.800000
notiek	ne	tikai	0.625000
notiek	sarunas	ar	0.800000
notiek	saskaņā	ar	1.000000
notiek	tā	kā	0.600000
notiek	uz	skatuves	0.307692
novērtēju	to	kas	1.000000
noziegumu	soda	ar	1.000000
nozīme	ir	arī	0.230769
nākamajā	dienā	pēc	0.176471
nākamajā	mācību	gadā	1.000000
nāks	par	labu	1.000000
otras	valsts	valodas	1.000000
otrdien	paziņoja	ka	0.800000
pagājušā	gada	nogalē	0.265060
pagājušā	gada	decembrī	0.132530
pagājušā	gada	beigās	0.084337
pagājušā	gada	vasarā	0.048193
pagājušā	gada	darbības	0.048193
pagājušā	gada	laikā	0.048193
pagājušā	gada	līmenī	0.036145
pagājušā	gada	beigām	0.036145
pagājušā	gadsimta	gados	0.222222
pagājušā	gadsimta	gadu	0.222222
pagājušā	gadsimta	gadiem	0.148148
paliek	aizvien	mazāk	1.000000
paliek	iepriekšējā	līmenī	1.000000
paliek	pie	sava	1.000000
palīdz	tas	ka	1.000000
palīdzība	bija	nepieciešama	0.750000
palīdzība	bijusi	nepieciešama	1.000000
pasaules	akciju	tirgus	1.000000
pasaules	kara	laikā	0.285714
pastāstīja	ka	šogad	0.060241
pastāstīja	ka	viņa	0.036145
pastāstīja	ka	jau	0.030120
pastāstīja	ka	ar	0.030120
pastāstīja	ka	līdz	0.030120
pastāstīja	ka	pirms	0.024096
pastāstīja	ka	par	0.024096
pastāstīja	ka	šī	0.018072
pastāstīja	ka	arī	0.018072
pastāstīja	ka	uz	0.018072
pastāstīja	ka	viņš	0.018072
pastāv	iespēja	ka	0.733333
pastāv	risks	ka	0.545455
pastāv	viedoklis	ka	1.000000
pati	no	sevis	0.750000
pati	par	sevi	0.846154
pati	par	to	0.115385
patiesība	ir	tāda	0.444444
patiesībā	tas	ir	0.700000
patīk	savs	darbs	1.000000
patīk	vai	ne	0.500000
pavisam	drīz	jau	0.176471
pavisam	kas	cits	1.000000
pavisam	ko	citu	1.000000
pavisam	noteikti	ir	0.428571
paziņoja	ka	ir	0.055556
pašas	dienas	vakarā	0.625000
pašas	par	sevi	0.833333
pašas	problēmas	kā	1.000000
pašlaik	vēl	ir	0.200000
pašlaik	vēl	nav	0.200000
personas	kuras	ir	0.333333
piektdien	no	rīta	0.750000
piektdien	un	sestdien	0.833333
piemērs	tam	ka	0.400000
pienāk	brīdis	kad	0.750000
pienāks	laiks	kad	0.600000
pieņemts	gala	lēmums	1.000000
pieņemts	lēmums	par	0.473684
pieņemts	lēmums	ka	0.157895
pieņemts	pēc	tam	1.000000
pilsētā	jau	ir	1.000000
pilsētā	un	rajonā	0.235294
pirmkārt	tāpēc	ka	1.000000
plecu	pie	pleca	1.000000
plāno	doties	uz	0.750000
plāno	tikties	ar	0.800000
plāno	tērēt	miljonus	0.600000
plāno	veikt	miljardu	0.600000
policija	aicina	ikvienu	0.300000
policija	aizdomās	par	1.000000
policija	paziņoja	ka	0.750000
pretēji	tam	kā	1.000000
pretējā	gadījumā	viņi	0.130435
priecājos	par	to	0.272727
procentiem	vairāk	nekā	1.000000
prom	no	savas	0.190476
prom	no	mājām	0.190476
pēc	atgriešanās	no	0.428571
pēc	dabas	ir	0.500000
pēc	daudziem	gadiem	0.800000
pēc	dažiem	mēnešiem	0.500000
pēc	dažiem	gadiem	0.500000
pēc	dažām	dienām	0.461538
pēc	dažām	stundām	0.307692
pēc	dažām	minūtēm	0.230769
pēc	diviem	gadiem	0.588235
pēc	divām	nedēļām	0.470588
pēc	divām	stundām	0.352941
pēc	gadiem	nevaram	0.065217
pēc	gadiem	būs	0.065217
pēc	gadu	vecuma	0.666667
pēc	iespējas	ātrāk	0.339450
pēc	iespējas	vairāk	0.238532
pēc	iespējas	mazāk	0.073394
pēc	iespējas	lielāku	0.064220
pēc	iespējas	labāk	0.055046
pēc	iespējas	ilgāk	0.036697
pēc	iespējas	tuvāk	0.027523
pēc	iespējas	labāku	0.027523
pēc	kaut	kā	0.555556
pēc	kaut	kādiem	0.444444
pēc	kāda	laika	0.756757
pēc	kārtas	un	0.093023
pēc	kārtas	ar	0.093023
pēc	kārtas	notika	0.069767
pēc	kārtas	kas	0.069767
pēc	manām	domām	1.000000
pēc	otrā	pasaules	0.714286
pēc	palīdzības	pie	0.300000
pēc	pieciem	gadiem	0.500000
pēc	piecu	gadu	1.000000
pēc	pāris	gadiem	0.297297
pēc	pāris	mēnešiem	0.216216
pēc	pāris	dienām	0.135135
pēc	pāris	nedēļām	0.108108
pēc	pāris	minūtēm	0.081081
pēc	pāris	stundām	0.081081
pēc	sava	prāta	0.666667
pēc	tam	kad	0.265092
pēc	tam	jau	0.034121
pēc	tam	vēl	0.015748
pēc	tam	atkal	0.015748
pēc	tam	var	0.015748
pēc	tam	tiks	0.015748
pēc	tam	viņš	0.015748
pēc	tam	bija	0.015748
pēc	tam	viņa	0.013123
pēc	tam	arī	0.013123
pēc	tam	tos	0.013123
pēc	tam	tās	0.013123
pēc	tam	no	0.013123
pēc	tam	būs	0.010499
pēc	tam	ar	0.010499
pēc	tam	viņi	0.010499
pēc	tam	gan	0.010499
pēc	tam	uz	0.010499
pēc	tam	par	0.007874
pēc	tam	to	0.007874
pēc	tam	es	0.007874
pēc	tam	sekoja	0.007874
pēc	tam	šo	0.007874
pēc	tam	izrādījās	0.007874
pēc	tikšanās	ar	0.833333
pēc	trim	mēnešiem	0.333333
pēc	tā	ka	0.147059
pēc	tā	vien	0.088235
pēc	tā	laika	0.088235
pēc	tā	cik	0.088235
pēc	vairāk	nekā	0.833333
pēc	vairākiem	gadiem	0.600000
pēc	vairākiem	gadu	0.300000
pēc	valsts	policijas	0.555556
pēc	visa	spriežot	0.625000
pēc	viņa	domām	0.428571
pēc	viņa	vārdiem	0.178571
pēc	viņa	nāves	0.107143
pēc	viņa	rīcībā	0.107143
pēc	viņas	domām	0.500000
pēc	četriem	gadiem	0.714286
pēdējos	desmit	gados	0.875000
pēdējos	divos	gados	1.000000
pēdējos	gados	ir	0.140000
pēdējos	gados	nav	0.060000
pēdējos	trīs	gadus	0.428571
pēdējos	trīs	gados	0.428571
radījumi	mēs	esam	1.000000
rakstīt	uz	e	0.750000
redzam	ka	tas	0.150000
redzam	kas	notiek	0.600000
redzēt	un	dzirdēt	0.333333
reti	kurš	no	0.333333
rezultāti	liecina	ka	1.000000
rezultāti	rāda	ka	1.000000
rodas	jautājums	vai	0.360000
rodas	sajūta	ka	1.000000
runājam	par	to	0.130435
runājot	par	to	0.170213
runājot	par	nākotni	0.085106
rūpējas	par	to	0.200000
rūpējas	par	saviem	0.200000
rūpēties	par	sevi	0.160000
rūpēties	par	to	0.120000
sabiedrībā	pazīstami	cilvēki	0.600000
saimnieks	uzskata	ka	1.000000
saistībā	ar	notikušo	0.112500
saistībā	ar	šo	0.075000
saistībā	ar	to	0.050000
saistībā	ar	tās	0.037500
saistībā	ar	valsts	0.037500
sakot	ka	tas	0.176471
saprast	kas	notiek	0.285714
saprast	ko	nozīmē	0.800000
sapratu	ka	tas	0.095238
sapratu	ka	man	0.071429
saviem	bērniem	un	0.222222
saviem	draugiem	un	0.250000
saviem	spēkiem	un	0.250000
savus	vecākus	un	1.000000
saņēma	informāciju	ka	0.800000
seko	līdzi	notikumiem	0.176471
sen	vairs	nav	0.625000
septiņas	dienas	nedēļā	0.750000
sev	un	citiem	0.384615
sevišķi	tas	attiecas	0.750000
skaidrā	latviešu	valodā	1.000000
sliktā	stāvoklī	un	0.375000
soda	ar	brīvības	1.000000
soda	nauda	par	0.571429
soda	naudu	par	0.583333
sods	ir	brīvības	0.600000
spriežot	pēc	tā	0.266667
spīti	tam	ka	0.875000
starp	asv	un	1.000000
starp	citu	ir	0.081633
starp	citu	arī	0.071429
starp	citu	ja	0.051020
starp	citu	es	0.030612
starp	citu	tieši	0.030612
starp	citu	vai	0.030612
starp	kuriem	ir	0.800000
starp	laivu	un	1.000000
starp	valsti	un	0.800000
strādā	jau	gadus	0.250000
strādā	ne	tikai	0.750000
strādā	vairāk	nekā	1.000000
strādājis	ar	miljonu	0.428571
stāsies	spēkā	gada	0.250000
stāsta	ka	ir	0.048611
stāsta	ka	arī	0.027778
stāsta	ka	pirms	0.027778
stāsta	ka	līdz	0.020833
stāsta	ka	šobrīd	0.020833
stāsta	ka	viņa	0.020833
stāsta	ka	uz	0.020833
stāsta	ka	šajā	0.020833
stāsta	ka	mamma	0.020833
stāsta	par	to	0.208333
stāv	uz	vietas	0.666667
svarīga	ir	arī	0.454545
svarīgākais	uzdevums	ir	1.000000
svinības	par	godu	1.000000
sākot	ar	gada	0.187500
sākot	jau	ar	0.833333
sākot	no	plkst	0.217391
sākot	no	gada	0.130435
sākt	kaut	ko	1.000000
sūta	sveicienus	un	1.000000
tajā	brīdi	kad	1.000000
tajā	brīdī	kad	0.312500
tajā	laikā	kad	0.136364
tajā	laikā	bija	0.136364
tajā	pat	laikā	0.769231
tajā	pašā	laikā	0.734513
tajā	pašā	dienā	0.115044
tev	ir	savs	0.078947
tev	un	man	0.461538
tev	un	taviem	0.230769
tev	šodien	ir	1.000000
ticis	galā	ar	1.000000
ticību	saviem	spēkiem	1.000000
tie	bija	mani	0.100000
tie	bērni	kuri	0.500000
tie	cilvēki	kuri	0.523810
tie	cilvēki	kas	0.333333
tie	ir	tikai	0.068027
tie	ir	cilvēki	0.040816
tie	ir	no	0.034014
tie	ir	ļoti	0.034014
tie	ir	tie	0.027211
tie	ir	vajadzīgi	0.020408
tie	ir	par	0.020408
tie	ir	labi	0.020408
tie	ir	bērni	0.020408
tie	ir	mūsu	0.020408
tie	ir	kā	0.020408
tie	kas	to	0.038760
tie	kas	paši	0.031008
tie	kas	te	0.031008
tie	kas	paliks	0.023256
tie	kas	vēl	0.023256
tie	kas	darbojas	0.023256
tie	kas	ir	0.023256
tie	laiki	kad	0.666667
tie	paši	cilvēki	0.157895
tie	paši	kas	0.157895
tie	vairs	nav	0.600000
tie	varētu	būt	0.583333
tie	visi	ir	0.636364
tiesa	gan	uz	0.078947
tiesa	ir	arī	0.600000
tiesas	lēmums	kas	0.375000
tiešām	bija	ļoti	0.300000
tiešām	ir	tik	0.080000
tiešām	ir	tā	0.060000
tiešām	nav	neviena	0.157895
tiešām	tā	ir	0.750000
tikai	angļu	valodā	1.000000
tikai	ar	to	0.118421
tikai	ar	vienu	0.065789
tikai	ar	savu	0.039474
tikai	daļa	no	0.800000
tikai	dažas	dienas	0.466667
tikai	dažas	minūtes	0.200000
tikai	daži	procenti	0.333333
tikai	divas	reizes	0.333333
tikai	laika	jautājums	0.800000
tikai	latviešu	valodā	0.666667
tikai	liecina	par	1.000000
tikai	mazliet	vairāk	0.600000
tikai	nedaudz	vairāk	0.500000
tikai	nesakiet	ka	0.750000
tikai	no	mums	0.093750
tikai	nākamā	gada	1.000000
tikai	par	to	0.317073
tikai	par	labu	0.060976
tikai	par	naudu	0.048780
tikai	par	tām	0.036585
tikai	par	sevi	0.036585
tikai	pirms	gada	0.375000
tikai	pēc	tam	0.244898
tikai	pēc	pāris	0.061224
tikai	pēc	gada	0.061224
tikai	pēc	viņa	0.061224
tikai	tad	kad	0.338843
tikai	tad	ja	0.305785
tikai	tad	var	0.024793
tikai	tas	ka	0.270270
tikai	tas	kas	0.135135
tikai	tas	kurš	0.081081
tikai	tas	ir	0.081081
tikai	tie	kas	0.315789
tikai	tie	cilvēki	0.157895
tikai	tie	kuri	0.157895
tikai	tiem	kas	0.555556
tikai	tik	daudz	0.500000
tikai	tik	cik	0.375000
tikai	to	ka	0.236842
tikai	to	ko	0.184211
tikai	to	kas	0.105263
tikai	to	labāko	0.078947
tikai	tā	ka	0.218750
tikai	tā	var	0.187500
tikai	tādā	veidā	0.600000
tikai	tādēļ	ka	0.684211
tikai	tādēļ	lai	0.315789
tikai	tāpēc	ka	0.714286
tikai	tāpēc	lai	0.238095
tikai	un	vienīgi	0.940000
tikai	uz	tiem	0.104167
tikai	uz	priekšu	0.104167
tikai	uz	to	0.083333
tikai	viena	no	0.210526
tikai	viena	iespēja	0.078947
tikai	viens	no	0.239130
tikai	viens	cilvēks	0.065217
tikai	vienu	reizi	0.300000
tikai	šā	gada	1.000000
tikai	šķiet	ka	1.000000
tirgus	ir	mazs	0.272727
torte	uz	galvas	1.000000
trīs	dienas	no	0.157895
trīs	dienas	pēc	0.157895
trīs	dienu	laikā	0.454545
trīs	dienu	garumā	0.363636
trīs	gadi	bet	0.500000
trīs	gadu	laikā	0.625000
trīs	gadus	pēc	0.151515
trīs	krāsas	kas	1.000000
trīs	no	viņiem	0.444444
trīs	reizes	nedēļā	0.200000
trīs	vai	četras	0.428571
turpināt	darbu	pie	0.571429
tā	arī	nav	0.120253
tā	arī	ir	0.107595
tā	arī	bija	0.037975
tā	arī	paliek	0.025316
tā	arī	netika	0.025316
tā	arī	neizdevās	0.025316
tā	arī	būs	0.025316
tā	arī	nekad	0.018987
tā	arī	noticis	0.018987
tā	arī	notika	0.018987
tā	arī	nesapratu	0.018987
tā	arī	tiek	0.018987
tā	arī	līdz	0.018987
tā	bija	arī	0.100000
tā	bija	pirms	0.037500
tā	bija	ļoti	0.037500
tā	bija	iespēja	0.037500
tā	bija	pirmā	0.037500
tā	bija	tikai	0.037500
tā	būs	arī	0.085106
tā	būs	viena	0.085106
tā	būt	ka	1.000000
tā	drīzāk	ir	1.000000
tā	esot	tikai	0.130435
tā	gan	ir	0.333333
tā	iemesla	dēļ	1.000000
tā	ir	iespēja	0.043912
tā	ir	ļoti	0.039920
tā	ir	tikai	0.035928
tā	ir	mūsu	0.033932
tā	ir	liela	0.027944
tā	ir	arī	0.027944
tā	ir	viena	0.025948
tā	ir	kā	0.021956
tā	ir	taisnība	0.019960
tā	ir	mana	0.019960
tā	ir	tāda	0.017964
tā	ir	viņa	0.015968
tā	ir	patiesība	0.009980
tā	ir	tā	0.009980
tā	ir	milzīga	0.009980
tā	ir	gatava	0.009980
tā	ir	ka	0.009980
tā	ir	vienīgā	0.009980
tā	ir	maza	0.009980
tā	ir	normāla	0.007984
tā	ir	tik	0.007984
tā	ir	cilvēku	0.007984
tā	ir	diezgan	0.007984
tā	ir	no	0.007984
tā	ir	bijis	0.007984
tā	ir	un	0.007984
tā	ir	pilnīgi	0.007984
tā	ir	viņu	0.005988
tā	ir	jauna	0.005988
tā	ir	daļa	0.005988
tā	it	kā	1.000000
tā	jau	ir	0.271186
tā	jau	nav	0.050847
tā	ka	mēs	0.025862
tā	ka	nav	0.025862
tā	ka	es	0.025862
tā	ka	man	0.021552
tā	ka	viņi	0.021552
tā	ka	mums	0.017241
tā	ka	arī	0.017241
tā	ka	pat	0.012931
tā	ka	valsts	0.012931
tā	ka	vienmēr	0.012931
tā	ka	pēc	0.012931
tā	ka	kāds	0.012931
tā	ka	cilvēki	0.012931
tā	ka	ja	0.012931
tā	ka	nevajag	0.012931
tā	kas	ir	0.136364
tā	kā	tas	0.036212
tā	kā	ir	0.025070
tā	kā	es	0.019499
tā	kā	to	0.019499
tā	kā	viņa	0.019499
tā	kā	vajag	0.016713
tā	kā	šis	0.016713
tā	kā	tā	0.013928
tā	kā	ar	0.013928
tā	kā	man	0.013928
tā	kā	nav	0.013928
tā	kā	mums	0.013928
tā	kā	šīs	0.011142
tā	kā	par	0.011142
tā	kā	uz	0.011142
tā	kā	mēs	0.011142
tā	kā	šobrīd	0.011142
tā	kā	esmu	0.011142
tā	kā	tam	0.011142
tā	kā	viņš	0.011142
tā	kā	pēc	0.011142
tā	kā	šī	0.011142
tā	kā	bijis	0.008357
tā	kā	pirms	0.008357
tā	kā	esam	0.008357
tā	kā	jau	0.008357
tā	kā	tuvojas	0.008357
tā	kā	pats	0.008357
tā	kā	tagad	0.008357
tā	kā	mūsu	0.008357
tā	lai	būtu	0.055556
tā	lai	tas	0.041667
tā	lai	tās	0.041667
tā	lielā	mērā	0.600000
tā	mērķis	ir	0.666667
tā	nav	tikai	0.121212
tā	nav	taisnība	0.060606
tā	nav	problēma	0.045455
tā	ne	vienmēr	0.500000
tā	nekad	nav	0.500000
tā	notika	ar	0.500000
tā	nu	tas	0.176471
tā	pa	īstam	0.750000
tā	pat	kā	0.263158
tā	patiešām	ir	0.500000
tā	paša	gada	0.500000
tā	tas	ir	0.232558
tā	tas	arī	0.093023
tā	tas	bija	0.093023
tā	tas	nav	0.069767
tā	taču	ir	0.500000
tā	tiešām	ir	0.750000
tā	tomēr	ir	0.400000
tā	tomēr	nav	0.300000
tā	un	ne	0.333333
tā	uz	jautājumu	0.600000
tā	vai	citādi	0.166667
tā	vairs	nav	0.785714
tā	var	teikt	0.119048
tā	var	būt	0.119048
tā	var	runāt	0.095238
tā	var	notikt	0.071429
tā	varētu	būt	0.628571
tā	vien	šķiet	0.538462
tā	vienkārši	ir	0.333333
tā	vieta	kur	0.714286
tā	vietā	lai	0.760000
tā	vērts	lai	0.600000
tā	īsti	nemaz	0.214286
tādas	iespējas	līdzekļu	0.545455
tādas	lietas	ko	0.250000
tādas	lietas	kā	0.250000
tādas	pašas	problēmas	0.285714
tādas	pašas	tiesības	0.214286
tādas	vietas	kur	0.600000
tādu	cilvēku	kas	0.300000
tādu	ir	daudz	0.363636
tādu	kompāniju	kā	1.000000
tādu	kāda	tā	0.600000
tādu	pašu	nosaukumu	0.200000
tālu	nav	jāmeklē	1.000000
tās	ir	tikai	0.091954
tās	ir	ļoti	0.057471
tās	ir	lietas	0.034483
tās	jau	ir	0.300000
tās	laikā	iedzīvotāji	0.250000
tās	mērķis	ir	0.777778
tās	pašas	dienas	0.375000
tās	rīcībā	ir	0.500000
tās	var	būt	0.269231
tās	varētu	būt	0.428571
tās	visas	ir	0.600000
tās	vēl	ir	0.500000
uzdevums	ir	nodrošināt	0.073171
uzskata	ka	tas	0.043771
uzskata	ka	nav	0.033670
uzskata	ka	šī	0.030303
uzskata	ka	ir	0.030303
uzskata	ka	par	0.020202
uzskata	ka	šis	0.020202
uzskata	ka	valsts	0.016835
uzskata	ka	tā	0.016835
uzskata	ka	viņa	0.013468
uzskata	ka	tieši	0.013468
uzskata	ka	to	0.013468
uzskata	ka	šāds	0.013468
uzskata	ka	arī	0.013468
uzskata	ka	darba	0.010101
uzskata	ka	šajā	0.010101
uzskata	ka	pat	0.010101
uzskata	ka	situācija	0.010101
uzskata	ka	visu	0.010101
uzskata	par	savu	0.148148
uzskata	par	vienu	0.111111
uzņemties	atbildību	par	0.400000
uzņemties	atbildību	un	0.300000
uzņēmumu	kas	piedāvā	0.428571
vai	ar	naudas	0.161290
vai	ar	to	0.096774
vai	arī	ir	0.044693
vai	arī	tie	0.033520
vai	arī	par	0.027933
vai	arī	tā	0.027933
vai	arī	lai	0.022346
vai	arī	ja	0.022346
vai	arī	viņam	0.016760
vai	arī	tikai	0.016760
vai	arī	no	0.016760
vai	arī	tas	0.016760
vai	arī	tās	0.016760
vai	bez	mantas	0.333333
vai	dāvanu	karte	1.000000
vai	e	pastu	1.000000
vai	es	zinu	0.136364
vai	es	varētu	0.136364
vai	esam	gatavi	0.500000
vai	esat	ieguvis	0.860465
vai	esat	par	0.034884
vai	gluži	pretēji	0.500000
vai	ik	dienu	0.428571
vai	ir	vērts	0.074074
vai	ir	vēl	0.055556
vai	ir	kas	0.055556
vai	ir	kāds	0.055556
vai	ir	kādas	0.055556
vai	jebkuru	citu	1.000000
vai	jums	ir	0.600000
vai	jūs	zināt	0.137255
vai	jūs	esat	0.117647
vai	jūs	varētu	0.098039
vai	jūs	varat	0.058824
vai	kas	cits	0.555556
vai	katru	dienu	0.600000
vai	kaut	kas	0.526316
vai	kaut	ko	0.157895
vai	kaut	kur	0.157895
vai	ko	citu	0.636364
vai	kopā	ar	1.000000
vai	kā	citādi	0.307692
vai	kāda	cita	0.500000
vai	kāds	ir	0.255814
vai	kāds	cits	0.093023
vai	kāds	no	0.093023
vai	kādu	citu	0.777778
vai	kādā	citā	0.666667
vai	labākajā	gadījumā	1.000000
vai	mazāk	ir	0.157895
vai	mums	ir	0.210526
vai	naudas	sodu	0.500000
vai	naudas	sods	0.416667
vai	nav	iespējams	0.083333
vai	nav	grūti	0.083333
vai	nav	tā	0.083333
vai	ne	bet	0.259259
vai	nedod	dievs	1.000000
vai	negribam	bet	1.000000
vai	no	jauna	0.166667
vai	nu	ar	0.069767
vai	nu	uz	0.058140
vai	nu	tā	0.046512
vai	nu	tu	0.046512
vai	nākamā	gada	0.750000
vai	par	to	0.146341
vai	par	ko	0.073171
vai	pat	viens	0.066667
vai	pie	mums	0.375000
vai	pusi	no	1.000000
vai	tad	nav	0.063636
vai	tad	tā	0.045455
vai	tad	jūs	0.045455
vai	tad	tas	0.045455
vai	tad	ir	0.036364
vai	tad	tiešām	0.036364
vai	tad	nu	0.036364
vai	tad	viņš	0.027273
vai	tad	ja	0.027273
vai	tas	ir	0.292857
vai	tas	nozīmē	0.092857
vai	tas	nav	0.078571
vai	tas	būtu	0.057143
vai	tas	ka	0.057143
vai	tas	bija	0.042857
vai	tas	tā	0.028571
vai	tas	būs	0.021429
vai	tas	varētu	0.021429
vai	tas	pats	0.021429
vai	tev	ir	0.400000
vai	tie	ir	0.428571
vai	tie	nav	0.190476
vai	tieši	otrādi	0.500000
vai	tiešām	ir	0.059524
vai	tiešām	mēs	0.047619
vai	tiešām	nav	0.047619
vai	tiešām	viņi	0.035714
vai	tiešām	tā	0.035714
vai	tiešām	tik	0.035714
vai	tiešām	ar	0.035714
vai	tiešām	jūs	0.035714
vai	tik	nav	0.166667
vai	tik	tas	0.166667
vai	to	pašu	0.085714
vai	tu	esi	0.333333
vai	tu	zini	0.090909
vai	tu	vari	0.090909
vai	tur	ir	0.500000
vai	tā	ir	0.298246
vai	tā	būtu	0.122807
vai	tā	būs	0.087719
vai	tā	vispār	0.070175
vai	tā	bija	0.052632
vai	tāpēc	ka	0.400000
vai	tās	ir	0.227273
vai	un	cik	0.272727
vai	un	kā	0.272727
vai	vari	atšķirt	0.571429
vai	vispār	ir	0.150000
vai	viss	ir	0.428571
vai	viņam	ir	0.272727
vai	viņi	ir	0.150000
vai	viņš	ir	0.200000
vai	vēl	kāds	0.125000
vai	vēl	kaut	0.093750
vai	vēl	kas	0.093750
vai	vēlu	būs	0.200000
vairāk	attiecas	uz	1.000000
vairāk	darba	vietu	0.300000
vairāk	informācijas	par	0.500000
vairāk	izskatās	pēc	0.750000
vairāk	jautājumu	nekā	1.000000
vairāk	jo	labāk	0.333333
vairāk	kā	par	0.054545
vairāk	kā	pusi	0.054545
vairāk	līdzekļu	nekā	0.375000
vairāk	nekā	gadu	0.067227
vairāk	nekā	desmit	0.050420
vairāk	nekā	pirms	0.046218
vairāk	nekā	miljoni	0.033613
vairāk	nekā	simts	0.027311
vairāk	nekā	tūkstoši	0.025210
vairāk	nekā	puse	0.025210
vairāk	nekā	trīs	0.021008
vairāk	nekā	miljonus	0.021008
vairāk	nekā	cilvēku	0.021008
vairāk	nekā	no	0.018908
vairāk	nekā	gadus	0.018908
vairāk	nekā	gada	0.018908
vairāk	nekā	tūkstošus	0.016807
vairāk	nekā	divas	0.014706
vairāk	nekā	divdesmit	0.014706
vairāk	nekā	simt	0.012605
vairāk	nekā	par	0.012605
vairāk	nekā	miljonu	0.012605
vairāk	nekā	cilvēki	0.012605
vairāk	nekā	gadiem	0.010504
vairāk	nekā	tūkstošiem	0.010504
vairāk	nekā	vienu	0.010504
vairāk	nekā	uzņēmumu	0.008403
vairāk	nekā	šajā	0.008403
vairāk	nekā	pusi	0.008403
vairāk	nekā	viens	0.008403
vairāk	nekā	jebkad	0.008403
vairāk	nekā	divi	0.008403
vairāk	nekā	trīsdesmit	0.008403
vairāk	nodarbojas	ar	1.000000
vairāk	par	to	0.072289
vairāk	par	desmit	0.060241
vairāk	par	visu	0.060241
vairāk	par	vienu	0.048193
vairāk	par	diviem	0.048193
vairāk	par	pusi	0.048193
vairāk	par	trim	0.036145
vairāk	tādēļ	ka	0.777778
vairāk	tāpēc	ka	0.818182
vairāk	un	vairāk	0.222222
vairāk	un	labāk	0.148148
vairāk	vai	mazāk	1.000000
vairāki	no	viņiem	0.750000
vajag	kaut	ko	0.666667
vajag	par	to	1.000000
vakar	no	rīta	0.875000
vakarā	ap	pulksten	0.714286
vakarā	bija	iespēja	0.600000
valsts	akciju	sabiedrības	0.625000
valsts	atbalsta	programma	0.416667
valsts	atbalsta	programmas	0.250000
valsts	augu	aizsardzības	1.000000
valsts	bērnu	tiesību	1.000000
valsts	meža	dienesta	0.666667
valsts	policija	par	0.121212
valsts	policija	aicina	0.090909
valsts	policija	un	0.090909
valsts	policijas	darbinieki	0.250000
valsts	policijas	darbiniekiem	0.111111
valsts	policijas	preses	0.111111
valsts	policijas	priekšnieks	0.083333
valsts	prezidenta	amatu	0.333333
valsts	prezidenta	valda	0.277778
valsts	prezidents	un	0.187500
valsts	radio	un	0.800000
valsts	un	eiropas	0.090909
valsts	valodas	likuma	0.300000
valsts	zemes	dienesta	0.777778
var	arī	nebūt	0.156250
var	atrast	arī	0.166667
var	būt	arī	0.154762
var	būt	ka	0.053571
var	būt	ļoti	0.047619
var	būt	gan	0.041667
var	būt	tikai	0.035714
var	būt	tik	0.023810
var	būt	ne	0.023810
var	būt	dažādas	0.017857
var	būt	no	0.017857
var	būt	par	0.017857
var	būt	dažādi	0.017857
var	būt	pat	0.017857
var	būt	vēl	0.017857
var	cerēt	ka	0.500000
var	darīt	lai	0.142857
var	doties	mājās	0.230769
var	doties	uz	0.230769
var	gadīties	ka	0.722222
var	iepazīties	ar	0.363636
var	iepazīties	interneta	0.272727
var	iesniegt	līdz	0.571429
var	izdarīt	tikai	0.172414
var	izmantot	arī	0.142857
var	izmantot	kā	0.142857
var	izskaidrot	ar	0.600000
var	iztikt	bez	0.555556
var	izvēlēties	sev	0.176471
